"PM_INSTANCE_ID","PM_TRANS_DEFN_SET","PM_TRANS_DEFN_ID","PM_AGENTID","PM_TRANS_STATUS","OPRID","PM_PERF_TRACE","PM_CONTEXT_VALUE1","PM_CONTEXT_VALUE2","PM_CONTEXT_VALUE3","PM_CONTEXTID_1","PM_CONTEXTID_2","PM_CONTEXTID_3","PM_PROCESS_ID","PM_AGENT_STRT_DTTM","PM_MON_STRT_DTTM","PM_TRANS_DURATION","PM_PARENT_INST_ID","PM_TOP_INST_ID","PM_METRIC_VALUE1","PM_METRIC_VALUE2","PM_METRIC_VALUE3","PM_METRIC_VALUE4","PM_METRIC_VALUE5","PM_METRIC_VALUE6","PM_METRIC_VALUE7","SYNCDTTM","PM_ADDTNL_DESCR"
1056991451545661,1,400,10,"1","PS"," ","EMPLOYEE","PSAPPSRV","ICScript",14,15,16,4767,07-MAR-25 09.25.38.234000000 AM,07-MAR-25 09.25.40.421177000 AM,45,1057047286120517,1057047286120512,22,2.282,2.093,0.013,26,26,"SQL Trace level=0; Peoplecode Trace level=0; Ppr Trace level=0Pia Trace level=0",07-MAR-25 01.25.06.000000000 AM,""
1056991451545662,1,410,10,"1","PS"," ","http://instance-psfthcm-monitored.subnet02171257.vcn02171257.oraclevcn.com:5080/psc/ps_1/EMPLOYEE/HRMS/s/WEBLIB_PT_NAV.ISCRIPT1.FieldFormula.IScript_PT_NAV_TPL_FRAME","WEBLIB_PT_NAV.ISCRIPT1.FieldFormula.IScript_PT_NAV_TPL_FRAME"," ",21,11,0,4767,07-MAR-25 09.25.38.242000000 AM,07-MAR-25 09.25.40.444177000 AM,22,1056991451545661,1057047286120512,0,0,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
1056991451545663,1,412,10,"1","PS"," ","EMPLOYEE","PSAPPSRV","ICScript",14,15,16,4767,07-MAR-25 09.25.38.279000000 AM,07-MAR-25 09.25.40.466177000 AM,0,1056991451545661,1057047286120512,0,282,61,5,15,3569," ",07-MAR-25 01.25.06.000000000 AM,""
1056991451545664,1,400,10,"1","PS"," ","EMPLOYEE","PSAPPSRV","PortalRegistry",14,15,16,4767,07-MAR-25 09.25.38.316000000 AM,07-MAR-25 09.25.40.463178000 AM,3,1057047286120519,1057047286120512,0,0,0,0.011,1,1,"SQL Trace level=0; Peoplecode Trace level=0; Ppr Trace level=0Pia Trace level=0",07-MAR-25 01.25.06.000000000 AM,""
1056991451545665,1,412,10,"1","PS"," ","EMPLOYEE","PSAPPSRV","PortalRegistry",14,15,16,4767,07-MAR-25 09.25.38.319000000 AM,07-MAR-25 09.25.40.466178000 AM,0,1056991451545664,1057047286120512,0,26,0,1,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
1056991451545672,1,401,10,"1","PS"," ","PSPMMONITORURL.GBL","PSPMMONITORURL","Launch Page/Search Page",10,19,20,4767,07-MAR-25 09.25.39.178000000 AM,07-MAR-25 09.25.40.451180000 AM,15,1056991451545671,1057047286120530,15902,3,0,0,0,0,"Launch Page/Search Page",07-MAR-25 01.25.06.000000000 AM,""
1056991451545673,1,412,10,"1","PS"," ","EMPLOYEE","PSAPPSRV","ICPanel",14,15,16,4767,07-MAR-25 09.25.39.253000000 AM,07-MAR-25 09.25.40.466182000 AM,0,1056991451545671,1057047286120530,2,1144,44,10,60,3653," ",07-MAR-25 01.25.06.000000000 AM,""
1056991451545674,1,400,10,"1","PS"," ","http://instance-psfthcm-monitored.subnet02171257.vcn02171257.oraclevcn.com:5080/psc/ps_1/EMPLOYEE/HRMS/s/WEBLIB_PTPN.PTPN_ISCRIPT.FieldFormula.IScript_Notification_Count","PSAPPSRV","ICScript",14,15,16,4767,07-MAR-25 09.25.39.364000000 AM,07-MAR-25 09.25.40.437183000 AM,29,1057047286120535,1057047286120534,3,0.073,0.027,1.045,128,8,"SQL Trace level=0; Peoplecode Trace level=0; Ppr Trace level=0Pia Trace level=0",07-MAR-25 01.25.06.000000000 AM,""
1056991451545675,1,410,10,"1","PS"," ","http://instance-psfthcm-monitored.subnet02171257.vcn02171257.oraclevcn.com:5080/psc/ps_1/EMPLOYEE/HRMS/s/WEBLIB_PTPN.PTPN_ISCRIPT.FieldFormula.IScript_Notification_Count","WEBLIB_PTPN.PTPN_ISCRIPT.FieldFormula.IScript_Notification_Count"," ",21,11,0,4767,07-MAR-25 09.25.39.372000000 AM,07-MAR-25 09.25.40.463183000 AM,3,1056991451545674,1057047286120534,0,0,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
1056991451545676,1,412,10,"1","PS"," ","http://instance-psfthcm-monitored.subnet02171257.vcn02171257.oraclevcn.com:5080/psc/ps_1/EMPLOYEE/HRMS/s/WEBLIB_PTPN.PTPN_ISCRIPT.FieldFormula.IScript_Notification_Count","PSAPPSRV","ICScript",14,15,16,4767,07-MAR-25 09.25.39.393000000 AM,07-MAR-25 09.25.40.466183000 AM,0,1056991451545674,1057047286120534,0,424,0,6,18,3653," ",07-MAR-25 01.25.06.000000000 AM,""
1057012926382132,1,400,13,"1","PS"," ","EMPLOYEE","PSAPPSRV","ICScript",14,15,16,4857,07-MAR-25 09.25.38.096000000 AM,07-MAR-25 09.25.43.415187000 AM,51,1057047286120510,1057047286120509,27,10.148,7.602,1.014,4,5,"SQL Trace level=0; Peoplecode Trace level=0; Ppr Trace level=0Pia Trace level=0",07-MAR-25 01.25.06.000000000 AM,""
